ID	Titles
43	042913-SludgeD1_13-18, Cmpd 25528, +MSn(482.3003), 57.78 min
53	042913-SludgeD1_13-18, Cmpd 9879, +MSn(472.5609), 22.82 min
77	042913-SludgeD1_13-18, Cmpd 22541, +MSn(655.3789), 50.24 min
86	042913-SludgeD1_25-30, Cmpd 18374, +MSn(513.2941), 38.06 min
110	042913-SludgeD1_13-18, Cmpd 17591, +MSn(584.3234), 38.00 min
132	042913-SludgeD1_13-18, Cmpd 9552, +MSn(590.6054), 22.21 min
181	042913-SludgeD1_25-30, Cmpd 25550, +MSn(483.6462), 56.06 min
195	042913-SludgeD1_19-24, Cmpd 25844, +MSn(482.3002), 57.58 min;042913-SludgeD1_19-24, Cmpd 25911, +MSn(482.3), 57.75 min;042913-SludgeD1_13-18, Cmpd 25382, +MSn(482.3028), 57.42 min;042913-SludgeD1_25-30, Cmpd 26184, +MSn(482.3001), 57.70 min
198	042913-SludgeD1_1-6, Cmpd 34521, +MSn(483.6464), 84.62 min
252	042913-SludgeD1_13-18, Cmpd 16606, +MSn(414.8918), 35.82 min
259	042913-SludgeD1_1-6, Cmpd 17615, +MSn(491.9237), 41.87 min
305	042913-SludgeD1_25-30, Cmpd 6530, +MSn(443.5409), 16.24 min;042913-SludgeD1_19-24, Cmpd 6471, +MSn(443.5404), 16.18 min
321	042913-SludgeD1_13-18, Cmpd 11369, +MSn(427.54), 25.64 min
332	042913-SludgeD1_1-6, Cmpd 5759, +MSn(424.8523), 15.75 min
362	042913-SludgeD1_13-18, Cmpd 12974, +MSn(433.9047), 28.76 min
364	042913-SludgeD1_25-30, Cmpd 7279, +MSn(461.2395), 17.77 min
389	042913-SludgeD1_19-24, Cmpd 22126, +MSn(767.3912), 48.12 min;042913-SludgeD1_13-18, Cmpd 21287, +MSn(767.4), 47.06 min;042913-SludgeD1_13-18, Cmpd 21785, +MSn(767.3909), 48.30 min;042913-SludgeD1_1-6, Cmpd 20285, +MSn(767.3914), 48.62 min;042913-SludgeD1_1-6, Cmpd 20365, +MSn(767.3918), 48.80 min;042913-SludgeD1_25-30, Cmpd 21940, +MSn(767.4), 46.97 min;042913-SludgeD1_1-6, Cmpd 20207, +MSn(767.39), 48.43 min;042913-SludgeD1_1-6, Cmpd 19987, +MSn(767.4), 47.91 min;042913-SludgeD1_1-6, Cmpd 20060, +MSn(767.39), 48.09 min;042913-SludgeD1_25-30, Cmpd 22193, +MSn(767.39), 47.59 min;042913-SludgeD1_1-6, Cmpd 20443, +MSn(767.3927), 48.99 min;042913-SludgeD1_25-30, Cmpd 22359, +MSn(767.3915), 48.03 min;042913-SludgeD1_25-30, Cmpd 22442, +MSn(767.3912), 48.25 min
437	042913-SludgeD1_25-30, Cmpd 6041, +MSn(489.58), 15.04 min
