ID	Titles
0	042913-SludgeD1_13-18, Cmpd 12774, +MSn(466.27), 28.35 min
1	042913-SludgeD1_19-24, Cmpd 18121, +MSn(706.4), 38.00 min
2	042913-SludgeD1_19-24, Cmpd 22765, +MSn(635.34), 49.76 min
3	042913-SludgeD1_1-6, Cmpd 10621, +MSn(428.68), 26.36 min
4	042913-SludgeD1_19-24, Cmpd 4590, +MSn(856.44), 11.38 min
5	042913-SludgeD1_25-30, Cmpd 15188, +MSn(540.28), 32.04 min
6	042913-SludgeD1_25-30, Cmpd 3751, +MSn(891.36), 9.17 min
7	042913-SludgeD1_19-24, Cmpd 13721, +MSn(617.29), 29.75 min
8	042913-SludgeD1_19-24, Cmpd 24881, +MSn(701.84), 55.20 min
9	042913-SludgeD1_19-24, Cmpd 28199, +MSn(640.89), 63.68 min
10	042913-SludgeD1_25-30, Cmpd 21579, +MSn(564.3), 46.04 min
11	042913-SludgeD1_1-6, Cmpd 3535, +MSn(802.85), 9.14 min
12	042913-SludgeD1_19-24, Cmpd 8924, +MSn(562.29), 21.02 min
13	042913-SludgeD1_1-6, Cmpd 23903, +MSn(749.27), 57.31 min
14	042913-SludgeD1_19-24, Cmpd 4375, +MSn(824.92), 10.82 min
15	042913-SludgeD1_1-6, Cmpd 33416, +MSn(886.12), 81.69 min
16	042913-SludgeD1_13-18, Cmpd 5292, +MSn(785.65), 13.16 min
17	042913-SludgeD1_25-30, Cmpd 30703, +MSn(1256.5), 69.67 min
18	042913-SludgeD1_25-30, Cmpd 30566, +MSn(580.8), 69.29 min
19	042913-SludgeD1_19-24, Cmpd 24761, +MSn(450.75), 54.89 min
20	042913-SludgeD1_13-18, Cmpd 20725, +MSn(905.98), 45.63 min
21	042913-SludgeD1_25-30, Cmpd 4252, +MSn(1157.61), 10.47 min
22	042913-SludgeD1_1-6, Cmpd 23375, +MSn(523.29), 55.99 min
23	042913-SludgeD1_1-6, Cmpd 18362, +MSn(554.78), 43.80 min
24	042913-SludgeD1_1-6, Cmpd 6713, +MSn(523.74), 18.10 min
25	042913-SludgeD1_13-18, Cmpd 24515, +MSn(701.9), 55.31 min
26	042913-SludgeD1_25-30, Cmpd 4811, +MSn(1085.9), 11.92 min
27	042913-SludgeD1_25-30, Cmpd 35640, +MSn(1067.35), 82.21 min
28	042913-SludgeD1_13-18, Cmpd 35444, +MSn(1101.07), 83.18 min
29	042913-SludgeD1_25-30, Cmpd 28989, +MSn(580.8), 65.06 min
30	042913-SludgeD1_13-18, Cmpd 28967, +MSn(489.32), 66.44 min
31	042913-SludgeD1_1-6, Cmpd 2113, +MSn(466), 5.63 min
32	042913-SludgeD1_19-24, Cmpd 3828, +MSn(906.99), 9.41 min
33	042913-SludgeD1_25-30, Cmpd 26348, +MSn(727.44), 58.13 min
34	042913-SludgeD1_25-30, Cmpd 14433, +MSn(473.77), 30.74 min
35	042913-SludgeD1_19-24, Cmpd 27557, +MSn(626.07), 61.98 min
36	042913-SludgeD1_25-30, Cmpd 27855, +MSn(626.4), 62.07 min
37	042913-SludgeD1_19-24, Cmpd 3958, +MSn(1144.84), 9.74 min
38	042913-SludgeD1_25-30, Cmpd 33133, +MSn(700.47), 75.88 min|042913-SludgeD1_25-30, Cmpd 33209, +MSn(700.47), 76.06 min
39	042913-SludgeD1_25-30, Cmpd 22068, +MSn(659.81), 47.29 min
40	042913-SludgeD1_19-24, Cmpd 4123, +MSn(1130.58), 10.17 min
41	042913-SludgeD1_25-30, Cmpd 27841, +MSn(626.07), 62.03 min
42	042913-SludgeD1_1-6, Cmpd 12768, +MSn(543.28), 30.87 min
43	042913-SludgeD1_25-30, Cmpd 20349, +MSn(671.83), 42.86 min
44	042913-SludgeD1_19-24, Cmpd 1698, +MSn(556.6), 4.12 min
45	042913-SludgeD1_1-6, Cmpd 35016, +MSn(723.11), 85.96 min
46	042913-SludgeD1_19-24, Cmpd 12, +MSn(926), 0.04 min
47	042913-SludgeD1_13-18, Cmpd 36379, +MSn(777.39), 85.69 min
48	042913-SludgeD1_1-6, Cmpd 21318, +MSn(524.83), 51.03 min
49	042913-SludgeD1_1-6, Cmpd 19793, +MSn(504.32), 47.45 min
50	042913-SludgeD1_13-18, Cmpd 4995, +MSn(811.41), 12.40 min
51	042913-SludgeD1_13-18, Cmpd 4631, +MSn(949.47), 11.47 min
52	042913-SludgeD1_25-30, Cmpd 22062, +MSn(816.81), 47.28 min
53	042913-SludgeD1_25-30, Cmpd 11163, +MSn(401.74), 24.67 min
54	042913-SludgeD1_25-30, Cmpd 25872, +MSn(590.92), 56.91 min
55	042913-SludgeD1_25-30, Cmpd 25826, +MSn(850.45), 56.79 min
56	042913-SludgeD1_13-18, Cmpd 5415, +MSn(695.34), 13.47 min
57	042913-SludgeD1_25-30, Cmpd 23989, +MSn(523.29), 52.12 min
58	042913-SludgeD1_13-18, Cmpd 15779, +MSn(596.31), 34.15 min
59	042913-SludgeD1_25-30, Cmpd 4500, +MSn(1099.33), 11.11 min
60	042913-SludgeD1_19-24, Cmpd 4388, +MSn(920.49), 10.86 min
61	042913-SludgeD1_19-24, Cmpd 29179, +MSn(489.32), 66.27 min
62	042913-SludgeD1_19-24, Cmpd 23971, +MSn(579.85), 52.89 min
63	042913-SludgeD1_19-24, Cmpd 3719, +MSn(1018.43), 9.13 min
64	042913-SludgeD1_25-30, Cmpd 22891, +MSn(631.34), 49.39 min
65	042913-SludgeD1_13-18, Cmpd 67, +MSn(525.27), 0.19 min
66	042913-SludgeD1_13-18, Cmpd 30711, +MSn(537.45), 71.02 min
67	042913-SludgeD1_25-30, Cmpd 23772, +MSn(677.35), 51.59 min
68	042913-SludgeD1_25-30, Cmpd 4081, +MSn(1163.61), 10.02 min
69	042913-SludgeD1_25-30, Cmpd 23670, +MSn(689.03), 51.35 min
70	042913-SludgeD1_25-30, Cmpd 29797, +MSn(581.3), 67.23 min
71	042913-SludgeD1_25-30, Cmpd 16923, +MSn(523.29), 35.14 min
72	042913-SludgeD1_25-30, Cmpd 22135, +MSn(561.28), 47.45 min
73	042913-SludgeD1_13-18, Cmpd 12376, +MSn(589.31), 27.56 min
74	042913-SludgeD1_19-24, Cmpd 9803, +MSn(436.26), 22.60 min
75	042913-SludgeD1_1-6, Cmpd 14972, +MSn(544.31), 35.51 min
76	042913-SludgeD1_13-18, Cmpd 19981, +MSn(723.88), 43.74 min
77	042913-SludgeD1_25-30, Cmpd 29289, +MSn(528.8), 65.87 min
78	042913-SludgeD1_1-6, Cmpd 4109, +MSn(714.44), 10.62 min
79	042913-SludgeD1_1-6, Cmpd 25225, +MSn(477.22), 60.61 min
80	042913-SludgeD1_19-24, Cmpd 18323, +MSn(454.25), 38.47 min
81	042913-SludgeD1_19-24, Cmpd 12311, +MSn(466.26), 27.10 min
82	042913-SludgeD1_25-30, Cmpd 19534, +MSn(510.77), 40.80 min
83	042913-SludgeD1_25-30, Cmpd 11924, +MSn(539.28), 26.01 min
84	042913-SludgeD1_25-30, Cmpd 13357, +MSn(458.26), 28.57 min|042913-SludgeD1_25-30, Cmpd 13345, +MSn(458.28), 28.54 min
85	042913-SludgeD1_1-6, Cmpd 10696, +MSn(474.26), 26.52 min
86	042913-SludgeD1_25-30, Cmpd 15777, +MSn(450.23), 33.08 min
87	042913-SludgeD1_1-6, Cmpd 17086, +MSn(407.21), 40.53 min
88	042913-SludgeD1_19-24, Cmpd 29535, +MSn(645.94), 67.20 min
89	042913-SludgeD1_25-30, Cmpd 7504, +MSn(452.24), 18.20 min
90	042913-SludgeD1_19-24, Cmpd 3844, +MSn(901.19), 9.45 min
91	042913-SludgeD1_1-6, Cmpd 10809, +MSn(483.25), 26.74 min
92	042913-SludgeD1_1-6, Cmpd 9693, +MSn(495.25), 24.41 min
93	042913-SludgeD1_19-24, Cmpd 11043, +MSn(479.26), 24.88 min
94	042913-SludgeD1_13-18, Cmpd 10439, +MSn(455.23), 23.91 min
95	042913-SludgeD1_19-24, Cmpd 17273, +MSn(534.31), 36.25 min
96	042913-SludgeD1_13-18, Cmpd 17140, +MSn(595.31), 36.97 min
97	042913-SludgeD1_19-24, Cmpd 6512, +MSn(602.32), 16.28 min
98	042913-SludgeD1_1-6, Cmpd 6246, +MSn(406.22), 16.96 min
99	042913-SludgeD1_19-24, Cmpd 19273, +MSn(640.39), 40.79 min
100	042913-SludgeD1_1-6, Cmpd 26463, +MSn(846.95), 63.72 min
101	042913-SludgeD1_19-24, Cmpd 12867, +MSn(522.3), 28.08 min
102	042913-SludgeD1_1-6, Cmpd 13782, +MSn(593.33), 32.94 min
103	042913-SludgeD1_25-30, Cmpd 16277, +MSn(497.26), 33.96 min
104	042913-SludgeD1_1-6, Cmpd 13083, +MSn(545.28), 31.51 min
105	042913-SludgeD1_1-6, Cmpd 7633, +MSn(551.3), 20.31 min
106	042913-SludgeD1_1-6, Cmpd 10716, +MSn(550.8), 26.56 min
107	042913-SludgeD1_13-18, Cmpd 12092, +MSn(580.81), 27.02 min
108	042913-SludgeD1_25-30, Cmpd 23386, +MSn(580.8), 50.64 min
109	042913-SludgeD1_1-6, Cmpd 9695, +MSn(469.24), 24.41 min
110	042913-SludgeD1_1-6, Cmpd 13106, +MSn(543.77), 31.56 min
111	042913-SludgeD1_19-24, Cmpd 4670, +MSn(1039.53), 11.59 min
112	042913-SludgeD1_25-30, Cmpd 19726, +MSn(476.24), 41.28 min
113	042913-SludgeD1_25-30, Cmpd 12946, +MSn(507.79), 27.82 min
114	042913-SludgeD1_1-6, Cmpd 11170, +MSn(509.28), 27.47 min
115	042913-SludgeD1_19-24, Cmpd 18630, +MSn(556.82), 39.21 min
116	042913-SludgeD1_25-30, Cmpd 14362, +MSn(425.78), 30.60 min
117	042913-SludgeD1_19-24, Cmpd 14928, +MSn(597.8), 31.98 min
118	042913-SludgeD1_13-18, Cmpd 131, +MSn(525.27), 0.36 min
119	042913-SludgeD1_1-6, Cmpd 8195, +MSn(495.78), 21.36 min
120	042913-SludgeD1_13-18, Cmpd 36462, +MSn(421.76), 85.92 min
121	042913-SludgeD1_25-30, Cmpd 3810, +MSn(1295.61), 9.32 min
122	042913-SludgeD1_13-18, Cmpd 6467, +MSn(508.77), 16.12 min
123	042913-SludgeD1_19-24, Cmpd 3886, +MSn(1113.81), 9.55 min
124	042913-SludgeD1_1-6, Cmpd 10733, +MSn(559.79), 26.59 min
125	042913-SludgeD1_25-30, Cmpd 4358, +MSn(1222.63), 10.74 min
126	042913-SludgeD1_1-6, Cmpd 10354, +MSn(560.79), 25.78 min
127	042913-SludgeD1_25-30, Cmpd 29367, +MSn(489.32), 66.07 min
128	042913-SludgeD1_19-24, Cmpd 22418, +MSn(489.31), 48.87 min|042913-SludgeD1_25-30, Cmpd 22713, +MSn(489.31), 48.93 min
129	042913-SludgeD1_13-18, Cmpd 13481, +MSn(492.24), 29.74 min
130	042913-SludgeD1_1-6, Cmpd 6300, +MSn(516.77), 17.09 min
131	042913-SludgeD1_19-24, Cmpd 4982, +MSn(1148.1), 12.40 min
132	042913-SludgeD1_25-30, Cmpd 20731, +MSn(421.24), 43.85 min
133	042913-SludgeD1_1-6, Cmpd 3472, +MSn(706.29), 8.97 min
134	042913-SludgeD1_1-6, Cmpd 4890, +MSn(793.31), 13.58 min
135	042913-SludgeD1_19-24, Cmpd 8126, +MSn(506.26), 19.53 min
136	042913-SludgeD1_25-30, Cmpd 12780, +MSn(537.77), 27.53 min
137	042913-SludgeD1_19-24, Cmpd 26974, +MSn(964.33), 60.47 min
138	042913-SludgeD1_13-18, Cmpd 4266, +MSn(1176.12), 10.53 min
139	042913-SludgeD1_13-18, Cmpd 29570, +MSn(1091.03), 68.00 min
140	042913-SludgeD1_25-30, Cmpd 29273, +MSn(904.47), 65.83 min
141	042913-SludgeD1_25-30, Cmpd 21376, +MSn(621.85), 45.51 min
142	042913-SludgeD1_25-30, Cmpd 21653, +MSn(671.3), 46.23 min
143	042913-SludgeD1_13-18, Cmpd 17939, +MSn(655.32), 38.83 min
144	042913-SludgeD1_19-24, Cmpd 17995, +MSn(568.29), 37.72 min
145	042913-SludgeD1_19-24, Cmpd 18395, +MSn(491.75), 38.64 min
146	042913-SludgeD1_19-24, Cmpd 22403, +MSn(539.79), 48.83 min
147	042913-SludgeD1_1-6, Cmpd 18889, +MSn(530.3), 45.16 min
148	042913-SludgeD1_13-18, Cmpd 15443, +MSn(598.8), 33.50 min
149	042913-SludgeD1_19-24, Cmpd 17367, +MSn(575.8), 36.44 min
150	042913-SludgeD1_1-6, Cmpd 3716, +MSn(807.4), 9.59 min
151	042913-SludgeD1_19-24, Cmpd 14083, +MSn(469.27), 30.49 min
152	042913-SludgeD1_19-24, Cmpd 23869, +MSn(823.44), 52.63 min
153	042913-SludgeD1_1-6, Cmpd 15727, +MSn(575.79), 37.23 min
154	042913-SludgeD1_25-30, Cmpd 11797, +MSn(562.28), 25.77 min
155	042913-SludgeD1_25-30, Cmpd 23863, +MSn(523.29), 51.82 min
156	042913-SludgeD1_1-6, Cmpd 3649, +MSn(747.45), 9.42 min
157	042913-SludgeD1_25-30, Cmpd 20917, +MSn(568.81), 44.32 min
158	042913-SludgeD1_13-18, Cmpd 8131, +MSn(524.27), 19.56 min
