ID	Titles
1350	042913-SludgeD1_19-24, Cmpd 35725, +MSn(433.781), 82.98 min
2096	042913-SludgeD1_13-18, Cmpd 27307, +MSn(473.8064), 62.16 min
3245	042913-SludgeD1_19-24, Cmpd 5338, +MSn(401.938), 13.31 min
7422	042913-SludgeD1_13-18, Cmpd 9133, +MSn(470.4842), 21.44 min
7973	042913-SludgeD1_13-18, Cmpd 19855, +MSn(521.0258), 43.43 min
8645	042913-SludgeD1_1-6, Cmpd 9607, +MSn(490.7362), 24.23 min
9318	042913-SludgeD1_1-6, Cmpd 18304, +MSn(553.5294), 43.65 min
9938	042913-SludgeD1_13-18, Cmpd 10148, +MSn(446.4567), 23.35 min
10060	042913-SludgeD1_13-18, Cmpd 27674, +MSn(498.3125), 63.10 min
11333	042913-SludgeD1_19-24, Cmpd 6061, +MSn(419.447), 15.16 min;042913-SludgeD1_19-24, Cmpd 5985, +MSn(419.4471), 14.96 min;042913-SludgeD1_19-24, Cmpd 5872, +MSn(419.4469), 14.67 min
11347	042913-SludgeD1_13-18, Cmpd 13023, +MSn(412.7276), 28.85 min
12456	042913-SludgeD1_13-18, Cmpd 4067, +MSn(561.0672), 10.02 min
13793	042913-SludgeD1_1-6, Cmpd 27741, +MSn(430.8904), 66.97 min
14203	042913-SludgeD1_13-18, Cmpd 9508, +MSn(443.2057), 22.14 min
14569	042913-SludgeD1_1-6, Cmpd 5962, +MSn(411.19), 16.24 min;042913-SludgeD1_1-6, Cmpd 5879, +MSn(411.1914), 16.03 min
17458	042913-SludgeD1_25-30, Cmpd 7248, +MSn(407.6876), 17.71 min
19433	042913-SludgeD1_25-30, Cmpd 4719, +MSn(487.7323), 11.68 min
19745	042913-SludgeD1_19-24, Cmpd 9884, +MSn(486.4942), 22.76 min
20342	042913-SludgeD1_19-24, Cmpd 5711, +MSn(426.9436), 14.25 min;042913-SludgeD1_19-24, Cmpd 5336, +MSn(426.9433), 13.31 min;042913-SludgeD1_19-24, Cmpd 5262, +MSn(426.9429), 13.13 min;042913-SludgeD1_19-24, Cmpd 5410, +MSn(426.9433), 13.48 min;042913-SludgeD1_19-24, Cmpd 5552, +MSn(426.9433), 13.84 min;042913-SludgeD1_19-24, Cmpd 5484, +MSn(426.9433), 13.67 min;042913-SludgeD1_19-24, Cmpd 5192, +MSn(426.94), 12.95 min;042913-SludgeD1_19-24, Cmpd 5636, +MSn(426.9425), 14.06 min
20640	042913-SludgeD1_13-18, Cmpd 27818, +MSn(505.0619), 63.50 min
21183	042913-SludgeD1_25-30, Cmpd 36198, +MSn(558.33), 83.66 min;042913-SludgeD1_19-24, Cmpd 35676, +MSn(558.33), 82.85 min;042913-SludgeD1_19-24, Cmpd 36011, +MSn(558.33), 83.73 min;042913-SludgeD1_19-24, Cmpd 36138, +MSn(558.33), 84.06 min;042913-SludgeD1_19-24, Cmpd 35610, +MSn(558.3257), 82.68 min
21304	042913-SludgeD1_19-24, Cmpd 11548, +MSn(409.7143), 25.75 min
22290	042913-SludgeD1_1-6, Cmpd 18506, +MSn(576.018), 44.17 min
22526	042913-SludgeD1_13-18, Cmpd 11120, +MSn(421.1998), 25.15 min
22729	042913-SludgeD1_19-24, Cmpd 12038, +MSn(463.2477), 26.62 min
23318	042913-SludgeD1_19-24, Cmpd 35907, +MSn(433.7821), 83.46 min;042913-SludgeD1_19-24, Cmpd 25496, +MSn(433.7844), 56.72 min
23338	042913-SludgeD1_25-30, Cmpd 5086, +MSn(481.4734), 12.62 min
23359	042913-SludgeD1_19-24, Cmpd 5032, +MSn(487.7321), 12.54 min
23475	042913-SludgeD1_13-18, Cmpd 4776, +MSn(487.7326), 11.84 min
23583	042913-SludgeD1_25-30, Cmpd 4862, +MSn(487.7303), 12.05 min
23599	042913-SludgeD1_25-30, Cmpd 4930, +MSn(487.7321), 12.22 min
23709	042913-SludgeD1_13-18, Cmpd 8783, +MSn(442.9528), 20.80 min
23940	042913-SludgeD1_13-18, Cmpd 27570, +MSn(478.7922), 62.84 min
24432	042913-SludgeD1_1-6, Cmpd 4702, +MSn(487.731), 13.07 min
24703	042913-SludgeD1_25-30, Cmpd 27615, +MSn(405.2753), 61.44 min
25277	042913-SludgeD1_25-30, Cmpd 24040, +MSn(405.274), 52.24 min
25586	042913-SludgeD1_13-18, Cmpd 9806, +MSn(443.2038), 22.67 min
25680	042913-SludgeD1_19-24, Cmpd 9801, +MSn(406.2119), 22.60 min
25894	042913-SludgeD1_25-30, Cmpd 36304, +MSn(405.2738), 83.94 min;042913-SludgeD1_25-30, Cmpd 36368, +MSn(405.2738), 84.11 min
25972	042913-SludgeD1_13-18, Cmpd 8988, +MSn(442.9524), 21.18 min;042913-SludgeD1_13-18, Cmpd 9090, +MSn(442.9523), 21.37 min;042913-SludgeD1_13-18, Cmpd 8885, +MSn(442.9526), 20.99 min;042913-SludgeD1_19-24, Cmpd 8774, +MSn(442.9518), 20.74 min;042913-SludgeD1_19-24, Cmpd 8875, +MSn(442.9521), 20.94 min
26001	042913-SludgeD1_13-18, Cmpd 11210, +MSn(421.2), 25.33 min
26150	042913-SludgeD1_19-24, Cmpd 28817, +MSn(405.5239), 65.32 min
26960	042913-SludgeD1_25-30, Cmpd 36498, +MSn(405.28), 84.45 min;042913-SludgeD1_19-24, Cmpd 36277, +MSn(405.27), 84.41 min;042913-SludgeD1_25-30, Cmpd 36436, +MSn(405.27), 84.28 min;042913-SludgeD1_25-30, Cmpd 36023, +MSn(405.273), 83.22 min;042913-SludgeD1_25-30, Cmpd 36240, +MSn(405.2754), 83.77 min;042913-SludgeD1_19-24, Cmpd 35805, +MSn(405.2744), 83.19 min;042913-SludgeD1_19-24, Cmpd 35870, +MSn(405.2742), 83.36 min
27531	042913-SludgeD1_1-6, Cmpd 12994, +MSn(432.7261), 31.33 min
27818	042913-SludgeD1_1-6, Cmpd 18268, +MSn(563.0185), 43.55 min
28181	042913-SludgeD1_19-24, Cmpd 27137, +MSn(405.2737), 60.89 min
28255	042913-SludgeD1_13-18, Cmpd 18307, +MSn(460.7282), 39.68 min
28365	042913-SludgeD1_13-18, Cmpd 9708, +MSn(446.4569), 22.50 min
29072	042913-SludgeD1_19-24, Cmpd 9084, +MSn(442.9518), 21.32 min
29770	042913-SludgeD1_13-18, Cmpd 5001, +MSn(487.7307), 12.41 min;042913-SludgeD1_13-18, Cmpd 5076, +MSn(487.7306), 12.60 min
29949	042913-SludgeD1_13-18, Cmpd 5365, +MSn(447.1968), 13.34 min;042913-SludgeD1_13-18, Cmpd 5298, +MSn(447.1965), 13.17 min
30467	042913-SludgeD1_19-24, Cmpd 28086, +MSn(405.2723), 63.36 min
31058	042913-SludgeD1_25-30, Cmpd 4793, +MSn(487.7312), 11.87 min
31319	042913-SludgeD1_25-30, Cmpd 29335, +MSn(405.2741), 65.99 min;042913-SludgeD1_19-24, Cmpd 26775, +MSn(405.2724), 59.94 min;042913-SludgeD1_25-30, Cmpd 28888, +MSn(405.27), 64.80 min;042913-SludgeD1_19-24, Cmpd 26850, +MSn(405.27), 60.14 min;042913-SludgeD1_19-24, Cmpd 28466, +MSn(405.27), 64.38 min;042913-SludgeD1_19-24, Cmpd 28623, +MSn(405.2735), 64.79 min;042913-SludgeD1_25-30, Cmpd 28815, +MSn(405.2729), 64.61 min;042913-SludgeD1_25-30, Cmpd 27919, +MSn(405.27), 62.23 min;042913-SludgeD1_25-30, Cmpd 28237, +MSn(405.2726), 63.05 min;042913-SludgeD1_19-24, Cmpd 36209, +MSn(405.2736), 84.23 min;042913-SludgeD1_19-24, Cmpd 36142, +MSn(405.2754), 84.06 min;042913-SludgeD1_19-24, Cmpd 36076, +MSn(405.2738), 83.89 min
31533	042913-SludgeD1_19-24, Cmpd 26938, +MSn(405.2733), 60.38 min
31563	042913-SludgeD1_25-30, Cmpd 27241, +MSn(405.2733), 60.45 min
31749	042913-SludgeD1_25-30, Cmpd 35994, +MSn(558.3262), 83.14 min
32113	042913-SludgeD1_13-18, Cmpd 9224, +MSn(446.4552), 21.61 min
32122	042913-SludgeD1_19-24, Cmpd 15586, +MSn(447.487), 33.14 min
32204	042913-SludgeD1_19-24, Cmpd 25499, +MSn(405.2769), 56.73 min
32235	042913-SludgeD1_25-30, Cmpd 29052, +MSn(405.2742), 65.23 min
32290	042913-SludgeD1_19-24, Cmpd 30017, +MSn(405.272), 68.46 min
32407	042913-SludgeD1_13-18, Cmpd 18342, +MSn(466.7206), 39.76 min
33763	042913-SludgeD1_19-24, Cmpd 6885, +MSn(407.201), 17.10 min
34429	042913-SludgeD1_13-18, Cmpd 16215, +MSn(489.2585), 35.01 min
34929	042913-SludgeD1_19-24, Cmpd 8976, +MSn(442.9519), 21.12 min
34944	042913-SludgeD1_19-24, Cmpd 11440, +MSn(409.7153), 25.56 min
36593	042913-SludgeD1_25-30, Cmpd 8947, +MSn(442.952), 20.81 min
36594	042913-SludgeD1_19-24, Cmpd 15724, +MSn(447.4873), 33.39 min
36820	042913-SludgeD1_13-18, Cmpd 17021, +MSn(576.8197), 36.72 min
37581	042913-SludgeD1_19-24, Cmpd 6312, +MSn(431.71), 15.78 min;042913-SludgeD1_19-24, Cmpd 6238, +MSn(431.7115), 15.60 min
37758	042913-SludgeD1_19-24, Cmpd 35865, +MSn(529.8162), 83.35 min;042913-SludgeD1_25-30, Cmpd 36215, +MSn(529.82), 83.70 min;042913-SludgeD1_19-24, Cmpd 35927, +MSn(529.82), 83.52 min;042913-SludgeD1_19-24, Cmpd 36012, +MSn(529.82), 83.73 min
38054	042913-SludgeD1_25-30, Cmpd 7130, +MSn(407.6865), 17.48 min
39275	042913-SludgeD1_13-18, Cmpd 27556, +MSn(487.3058), 62.80 min
39336	042913-SludgeD1_25-30, Cmpd 8457, +MSn(465.4721), 19.93 min
39960	042913-SludgeD1_13-18, Cmpd 28088, +MSn(531.3323), 64.21 min
41358	042913-SludgeD1_19-24, Cmpd 25405, +MSn(405.2746), 56.49 min
